CustomerID,CustomerName,Gender,Age,CustomerSegment,City,Province,Country,JoinDate
C00001,Alexander Singh,Male,60,Consumer,Sherbrooke,Quebec,Canada,2023-06-20
C00002,William Thomas,Non-binary,32,Consumer,St. John's,Newfoundland and Labrador,Canada,2022-12-12
C00003,Liam Nguyen,Male,36,Consumer,Calgary,Alberta,Canada,2024-12-28
C00004,Aria Miller,Female,35,Small Business,Quebec City,Quebec,Canada,2023-01-27
C00005,Carter Harris,Female,30,Consumer,Halifax,Nova Scotia,Canada,2022-09-08
C00006,James Chen,Non-binary,36,Small Business,Brandon,Manitoba,Canada,2024-10-27
C00007,Charlotte Reid,Female,38,Consumer,St. John's,Newfoundland and Labrador,Canada,2022-07-03
C00008,William Harris,Non-binary,39,Consumer,Saskatoon,Saskatchewan,Canada,2024-08-07
C00009,Aria Patel,Non-binary,28,Consumer,Lethbridge,Alberta,Canada,2022-10-18
C00010,Nora Reid,Male,50,Small Business,Fredericton,New Brunswick,Canada,2022-11-09
C00011,Grace Thomas,Male,45,Consumer,Richmond,British Columbia,Canada,2023-05-10
C00012,Audrey Hughes,Female,31,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2024-08-02
C00013,Abigail Hall,Male,70,Consumer,Montreal,Quebec,Canada,2024-02-04
C00014,Owen Clarke,Female,34,Small Business,Burnaby,British Columbia,Canada,2022-10-07
C00015,Samuel Chen,Non-binary,52,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2022-04-03
C00016,Abigail Taylor,Non-binary,33,Consumer,Moncton,New Brunswick,Canada,2024-01-30
C00017,Sophia Khan,Male,18,Consumer,Montreal,Quebec,Canada,2023-04-27
C00018,Hudson Scott,Non-binary,45,Consumer,Saint John,New Brunswick,Canada,2024-11-09
C00019,Hannah Young,Non-binary,37,Consumer,Saint John,New Brunswick,Canada,2024-01-12
C00020,Mason Evans,Female,49,Consumer,Red Deer,Alberta,Canada,2024-09-16
C00021,Ethan Hughes,Male,22,Consumer,Moncton,New Brunswick,Canada,2023-02-07
C00022,Mason Hall,Male,25,Consumer,Burnaby,British Columbia,Canada,2022-01-22
C00023,Aria Khan,Non-binary,22,Consumer,Regina,Saskatchewan,Canada,2022-02-17
C00024,James Singh,Female,49,Consumer,Edmonton,Alberta,Canada,2024-02-24
C00025,Olivia Lefebvre,Non-binary,30,Consumer,Winnipeg,Manitoba,Canada,2023-01-29
C00026,Charlotte Clarke,Non-binary,63,Consumer,Charlottetown,Prince Edward Island,Canada,2024-04-24
C00027,Ethan Morgan,Non-binary,53,Consumer,Guelph,Ontario,Canada,2022-10-04
C00028,Audrey Fournier,Male,50,Consumer,Halifax,Nova Scotia,Canada,2022-11-06
C00029,Joseph Wong,Female,48,Consumer,Lethbridge,Alberta,Canada,2024-10-04
C00030,Mason Gagnon,Male,64,Consumer,Montreal,Quebec,Canada,2024-08-31
C00031,Nathan Singh,Non-binary,54,Consumer,Saskatoon,Saskatchewan,Canada,2023-04-06
C00032,Lucas Lee,Non-binary,37,Consumer,Brandon,Manitoba,Canada,2024-04-27
C00033,Julian Thomas,Male,33,Consumer,Saint John,New Brunswick,Canada,2024-09-14
C00034,Joseph Bélanger,Male,55,Consumer,Longueuil,Quebec,Canada,2023-10-10
C00035,Abigail Anderson,Male,18,Small Business,Kelowna,British Columbia,Canada,2022-04-11
C00036,Noah Lee,Non-binary,39,Consumer,St. John's,Newfoundland and Labrador,Canada,2024-09-28
C00037,Mateo Stewart,Male,21,Corporate,Longueuil,Quebec,Canada,2022-07-10
C00038,Henry Stewart,Male,18,Small Business,Saskatoon,Saskatchewan,Canada,2023-12-28
C00039,Leo Reid,Non-binary,26,Consumer,Fort McMurray,Alberta,Canada,2023-03-20
C00040,Mateo Côté,Female,37,Small Business,Edmonton,Alberta,Canada,2022-04-17
C00041,Sofia Lefebvre,Male,43,Small Business,Kitchener,Ontario,Canada,2023-05-02
C00042,Joseph Anderson,Female,48,Consumer,Regina,Saskatchewan,Canada,2023-06-14
C00043,Hudson Taylor,Male,30,Consumer,Quebec City,Quebec,Canada,2024-09-27
C00044,Joseph Côté,Male,21,Consumer,Charlottetown,Prince Edward Island,Canada,2024-09-15
C00045,Joseph Taylor,Non-binary,34,Consumer,Gatineau,Quebec,Canada,2023-08-23
C00046,Hannah Côté,Male,23,Small Business,Sydney,Nova Scotia,Canada,2023-04-21
C00047,Sophia Wong,Male,38,Consumer,Longueuil,Quebec,Canada,2022-08-14
C00048,Mason Wilson,Female,68,Consumer,Charlottetown,Prince Edward Island,Canada,2023-04-15
C00049,Riley Singh,Non-binary,63,Small Business,Fredericton,New Brunswick,Canada,2022-09-05
C00050,Daniel Singh,Non-binary,20,Consumer,Toronto,Ontario,Canada,2024-07-21
C00051,Hudson Johnson,Non-binary,46,Small Business,Burnaby,British Columbia,Canada,2024-06-30
C00052,Benjamin Lee,Female,37,Consumer,Winnipeg,Manitoba,Canada,2024-04-30
C00053,Mateo Harris,Male,34,Consumer,Halifax,Nova Scotia,Canada,2023-12-29
C00054,Emma Taylor,Male,32,Consumer,Corner Brook,Newfoundland and Labrador,Canada,2024-09-18
C00055,Owen Brown,Non-binary,34,Consumer,St. John's,Newfoundland and Labrador,Canada,2023-04-21
C00056,David Dubois,Non-binary,32,Consumer,Victoria,British Columbia,Canada,2023-02-03
C00057,Charlotte Bélanger,Non-binary,45,Small Business,St. John's,Newfoundland and Labrador,Canada,2022-10-18
C00058,Alexander Stewart,Non-binary,31,Consumer,Sherbrooke,Quebec,Canada,2022-07-03
C00059,Emma Hughes,Female,57,Consumer,Sherbrooke,Quebec,Canada,2022-09-27
C00060,David Fournier,Female,41,Small Business,Gatineau,Quebec,Canada,2022-01-02
